File: Air_Freshener_915.png | True: Black (0) | Pred: Blue (1)
File: clean_cardboard_butter_box_49.png | True: Blue (1) | Pred: Black (0)
File: clean_cardboard_drink_container_2357.png | True: Blue (1) | Pred: Black (0)
File: clean_cardboard_egg_carton_382.png | True: Blue (1) | Pred: Green (2)
File: clean_crumpled_tin_foil_384.png | True: Blue (1) | Pred: Black (0)
File: clean_granola_bar_cardboard_box_2925.png | True: Blue (1) | Pred: Black (0)
File: clean_napkins_2433.png | True: Blue (1) | Pred: Green (2)
File: clean_pizza_box_54.png | True: Blue (1) | Pred: Black (0)
File: clean_plastic_bag_885.png | True: Blue (1) | Pred: Black (0)
File: clean_plastic_package_55.png | True: Blue (1) | Pred: Black (0)
File: clean_reusable_plastic_bag_2360.png | True: Blue (1) | Pred: Black (0)
File: clean_sandwich_wrapper_2471.png | True: Blue (1) | Pred: Green (2)
File: clean_white_plastic_container_3062.png | True: Blue (1) | Pred: Black (0)
File: clean_ziploc_bag_892.png | True: Blue (1) | Pred: Black (0)
File: compressed_paper_box_2362.png | True: Blue (1) | Pred: Black (0)
File: crumpled_paper_3237.png | True: Blue (1) | Pred: Black (0)
File: crumpled_sticky_note_390.png | True: Blue (1) | Pred: Green (2)
File: dirty_ice_cream_container_3239.png | True: Blue (1) | Pred: Green (2)
File: dirty_plastic_beef_meat_packaging_2959.png | True: Blue (1) | Pred: TTR (3)
File: dirty_takeout_container_2963.png | True: Blue (1) | Pred: Green (2)
File: dirty_ziplock_2824.png | True: Blue (1) | Pred: Black (0)
File: dirty_ziplock_bag_296.png | True: Blue (1) | Pred: Black (0)
File: dishwasher_box_228.png | True: Blue (1) | Pred: TTR (3)
File: disposable_white_plastic_packet_for_food_125.png | True: Blue (1) | Pred: Black (0)
File: disposible_paper_wristband_298.png | True: Blue (1) | Pred: Green (2)
File: earbud_tip_packaging_1531.png | True: Blue (1) | Pred: TTR (3)
File: egg_box_1120.png | True: Blue (1) | Pred: Green (2)
File: egg_box_1121.png | True: Blue (1) | Pred: Black (0)
File: egg_cardboard_package_2475.png | True: Blue (1) | Pred: TTR (3)
File: egg_carton_2773.png | True: Blue (1) | Pred: Green (2)
File: egg_carton_61.png | True: Blue (1) | Pred: TTR (3)
File: electronics_box_1223.png | True: Blue (1) | Pred: TTR (3)
File: empty_beer_can_1224.png | True: Blue (1) | Pred: TTR (3)
File: empty_bread_wrapper_763.png | True: Blue (1) | Pred: Black (0)
File: empty_can_drink_720.png | True: Blue (1) | Pred: TTR (3)
File: empty_carboard_jello_box_394.png | True: Blue (1) | Pred: Black (0)
File: empty_clean_spray_box_1407.png | True: Blue (1) | Pred: TTR (3)
File: empty_coffee_cup_1225.png | True: Blue (1) | Pred: TTR (3)
File: empty_coffee_pods_box_3073.png | True: Blue (1) | Pred: TTR (3)
File: empty_creatine_container_1533.png | True: Blue (1) | Pred: TTR (3)
File: empty_derma_stamp_box_1837.png | True: Blue (1) | Pred: TTR (3)
File: empty_egg_carton_240.png | True: Blue (1) | Pred: TTR (3)
File: empty_fish_can_65.png | True: Blue (1) | Pred: Black (0)
File: empty_goat_milk_jug_2937.png | True: Blue (1) | Pred: TTR (3)
File: empty_juice_box_1840.png | True: Blue (1) | Pred: Black (0)
File: empty_laundry_detergent_bottle_1676.png | True: Blue (1) | Pred: TTR (3)
File: empty_meat_tray_2967.png | True: Blue (1) | Pred: TTR (3)
File: empty_medicine_bottle_plastic_2788.png | True: Blue (1) | Pred: TTR (3)
File: empty_muffin_tray_402.png | True: Blue (1) | Pred: TTR (3)
File: empty_paper_food_bag_403.png | True: Blue (1) | Pred: Black (0)
File: empty_pepsi_can_245.png | True: Blue (1) | Pred: TTR (3)
File: empty_pill_bottle_2097.png | True: Blue (1) | Pred: TTR (3)
File: empty_plastic_breadbag_2829.png | True: Blue (1) | Pred: Black (0)
File: empty_roll_1019.png | True: Blue (1) | Pred: Green (2)
File: empty_shampoo_bottle_1846.png | True: Blue (1) | Pred: Black (0)
File: empty_soda_can_3256.png | True: Blue (1) | Pred: Black (0)
File: empty_tissue_box_250.png | True: Blue (1) | Pred: Green (2)
File: energy_drink_can_2058.png | True: Blue (1) | Pred: TTR (3)
File: expired_fish_dinner_2969.png | True: Blue (1) | Pred: TTR (3)
File: eye_drop_box_255.png | True: Blue (1) | Pred: Black (0)
File: eyedrop_container_1566.png | True: Blue (1) | Pred: Black (0)
File: eyedrop_paper_manual_254.png | True: Blue (1) | Pred: Black (0)
File: finished_bubble_tea_2099.png | True: Blue (1) | Pred: TTR (3)
File: flattened_carboard_box_3262.png | True: Blue (1) | Pred: TTR (3)
File: flyer_3407.png | True: Blue (1) | Pred: TTR (3)
File: foil_cardboard_roll_896.png | True: Blue (1) | Pred: Black (0)
File: folded_sprite_can_1020.png | True: Blue (1) | Pred: TTR (3)
File: food_soiled_reusable_plastic_bag_2394.png | True: Blue (1) | Pred: Black (0)
File: graph_paper_2939.png | True: Blue (1) | Pred: TTR (3)
File: hand_sanitizer_empty_bottle_2156.png | True: Blue (1) | Pred: Black (0)
File: juice_box_3263.png | True: Blue (1) | Pred: Black (0)
File: knife_safety_holster_plastic_1283.png | True: Blue (1) | Pred: Black (0)
File: large_lids_1410.png | True: Blue (1) | Pred: Black (0)
File: loose_leaf_paper_2942.png | True: Blue (1) | Pred: TTR (3)
File: metamucil_1855.png | True: Blue (1) | Pred: TTR (3)
File: napkin_clean_189.png | True: Blue (1) | Pred: Green (2)
File: nespresso_box_266.png | True: Blue (1) | Pred: TTR (3)
File: old_hat_2490.png | True: Blue (1) | Pred: TTR (3)
File: old_newspaper_2800.png | True: Blue (1) | Pred: Black (0)
File: old_receipts_1239.png | True: Blue (1) | Pred: Green (2)
File: paper_2066.png | True: Blue (1) | Pred: Green (2)
File: paper_268.png | True: Blue (1) | Pred: TTR (3)
File: paper_bag_1542.png | True: Blue (1) | Pred: TTR (3)
File: paper_ball_2370.png | True: Blue (1) | Pred: Green (2)
File: paper_cup_1415.png | True: Blue (1) | Pred: Black (0)
File: paper_napkin_2339.png | True: Blue (1) | Pred: Green (2)
File: paper_packaging_box_briefs_1244.png | True: Blue (1) | Pred: TTR (3)
File: paper_pancake_box_1245.png | True: Blue (1) | Pred: Black (0)
File: paper_pieces_1026.png | True: Blue (1) | Pred: Green (2)
File: paper_pipe_1129.png | True: Blue (1) | Pred: Green (2)
File: paper_receipt_1860.png | True: Blue (1) | Pred: Black (0)
File: paper_ski_pass_271.png | True: Blue (1) | Pred: TTR (3)
File: paper_straw_1028.png | True: Blue (1) | Pred: Green (2)
File: paper_straw_1861.png | True: Blue (1) | Pred: Black (0)
File: paper_straw_and_paper_wrapper_2194.png | True: Blue (1) | Pred: Black (0)
File: paper_tissue_25.png | True: Blue (1) | Pred: Green (2)
File: paper_towel_roll_3418.png | True: Blue (1) | Pred: Green (2)
File: paper_towel_sheets_529.png | True: Blue (1) | Pred: Green (2)
File: paper_with_small_tear_2944.png | True: Blue (1) | Pred: Green (2)
File: paper_wrapper_1130.png | True: Blue (1) | Pred: Black (0)
File: paper_wrapper_1149.png | True: Blue (1) | Pred: Black (0)
File: pepsi_can_3265.png | True: Blue (1) | Pred: TTR (3)
File: phone_packaging_1544.png | True: Blue (1) | Pred: TTR (3)
File: pill_bottle_2655.png | True: Blue (1) | Pred: TTR (3)
File: pink_post_it_notes_2946.png | True: Blue (1) | Pred: TTR (3)
File: pizza_box_with_some_grease_2371.png | True: Blue (1) | Pred: Green (2)
File: plastic_bag_3128.png | True: Blue (1) | Pred: Green (2)
File: plastic_bubble_wrap_2497.png | True: Blue (1) | Pred: Black (0)
File: plastic_cable_management_275.png | True: Blue (1) | Pred: Black (0)
File: plastic_container_3095.png | True: Blue (1) | Pred: TTR (3)
File: plastic_deodorant_container_1547.png | True: Blue (1) | Pred: Black (0)
File: plastic_food_container_1865.png | True: Blue (1) | Pred: Black (0)
File: plastic_lid_1548.png | True: Blue (1) | Pred: Black (0)
File: plastic_lid_3455.png | True: Blue (1) | Pred: Black (0)
File: plastic_paper_bag_2070.png | True: Blue (1) | Pred: Black (0)
File: plastic_pill_bottle_579.png | True: Blue (1) | Pred: Black (0)
File: plastic_shampoo_bottle_1690.png | True: Blue (1) | Pred: TTR (3)
File: plastic_shipping_packaging_3424.png | True: Blue (1) | Pred: Black (0)
File: plastic_shopping_bag_printed_95.png | True: Blue (1) | Pred: Black (0)
File: plastic_wrap_3269.png | True: Blue (1) | Pred: Black (0)
File: plastic_wrapper_1152.png | True: Blue (1) | Pred: Black (0)
File: plastic_wrist_band_97.png | True: Blue (1) | Pred: Black (0)
File: plastic_ziplock_bag_2113.png | True: Blue (1) | Pred: Black (0)
File: popcorn_box_2073.png | True: Blue (1) | Pred: TTR (3)
File: post_it_notes_1549.png | True: Blue (1) | Pred: TTR (3)
File: post_it_notes_2921.png | True: Blue (1) | Pred: TTR (3)
File: product_box_1132.png | True: Blue (1) | Pred: TTR (3)
File: recycable_coffee_cup_584.png | True: Blue (1) | Pred: TTR (3)
File: recyclable_packaging_1418.png | True: Blue (1) | Pred: Black (0)
File: rubber_iphone_card_holder_140.png | True: Blue (1) | Pred: Black (0)
File: sandwich_clean_wrap_2503.png | True: Blue (1) | Pred: Black (0)
File: scrap_fabric_627.png | True: Blue (1) | Pred: Black (0)
File: shoebox_lid_2075.png | True: Blue (1) | Pred: TTR (3)
File: soda_can_2803.png | True: Blue (1) | Pred: TTR (3)
File: soiled_egg_carton_1448.png | True: Blue (1) | Pred: Green (2)
File: solo_cup_585.png | True: Blue (1) | Pred: TTR (3)
File: sprite_can_1874.png | True: Blue (1) | Pred: TTR (3)
File: straw_wrapper_1875.png | True: Blue (1) | Pred: Black (0)
File: straw_wrapper_2076.png | True: Blue (1) | Pred: Black (0)
File: strawberry_package_3140.png | True: Blue (1) | Pred: Black (0)
File: tall_aluminum_can_586.png | True: Blue (1) | Pred: TTR (3)
File: tin_chocolate_container_2078.png | True: Blue (1) | Pred: TTR (3)
File: tin_foil_2079.png | True: Blue (1) | Pred: Black (0)
File: tin_foil_3100.png | True: Blue (1) | Pred: TTR (3)
File: tissue_748.png | True: Blue (1) | Pred: Green (2)
File: tissue_roll_1056.png | True: Blue (1) | Pred: Green (2)
File: toilet_paper_1551.png | True: Blue (1) | Pred: Green (2)
File: toilet_paper_tube_1256.png | True: Blue (1) | Pred: Green (2)
File: tomato_plastic_tray_2805.png | True: Blue (1) | Pred: TTR (3)
File: toothpaste_box_2510.png | True: Blue (1) | Pred: Black (0)
File: toothpaste_box_2950.png | True: Blue (1) | Pred: Black (0)
File: transparent_empty_ziploc_plastic_1257.png | True: Blue (1) | Pred: Black (0)
File: tuna_can_284.png | True: Blue (1) | Pred: TTR (3)
File: unopened_smarties_box_2807.png | True: Blue (1) | Pred: TTR (3)
File: unused_brown_napkin_2201.png | True: Blue (1) | Pred: Green (2)
File: unused_paper_napkin_3274.png | True: Blue (1) | Pred: Green (2)
File: unused_paper_towel_3275.png | True: Blue (1) | Pred: Green (2)
File: used_notebook_2081.png | True: Blue (1) | Pred: TTR (3)
File: used_paper_791.png | True: Blue (1) | Pred: Black (0)
File: used_paper_towel_3049.png | True: Blue (1) | Pred: Green (2)
File: used_straw_2842.png | True: Blue (1) | Pred: Black (0)
File: vape_juice_bottle_2598.png | True: Blue (1) | Pred: Black (0)
File: whiskey_cardboard_box_2512.png | True: Blue (1) | Pred: Black (0)
File: white_stretchy_plastic_bag_1263.png | True: Blue (1) | Pred: Green (2)
File: wrinkled_used_paper_1880.png | True: Blue (1) | Pred: Green (2)
File: ziploc_bag_1555.png | True: Blue (1) | Pred: Black (0)
File: ziploc_bag_2383.png | True: Blue (1) | Pred: Black (0)
File: ziplock_bag_resealable_2243.png | True: Blue (1) | Pred: Black (0)
File: Food_Container_71.png | True: Green (2) | Pred: Blue (1)
File: Used_Tea_Bag_537.png | True: Green (2) | Pred: TTR (3)
File: a_tea_bag_in_a_cup_2602.png | True: Green (2) | Pred: Blue (1)
File: apple_peels_3015.png | True: Green (2) | Pred: TTR (3)
File: avocado_single_178.png | True: Green (2) | Pred: Black (0)
File: bagged_dog_waste_1622.png | True: Green (2) | Pred: Black (0)
File: bread_overdated_4.png | True: Green (2) | Pred: Blue (1)
File: butter_2181.png | True: Green (2) | Pred: Blue (1)
File: candy_1495.png | True: Green (2) | Pred: Black (0)
File: cardboard_box_with_food_residue_6.png | True: Green (2) | Pred: Blue (1)
File: celery_1788.png | True: Green (2) | Pred: Black (0)
File: cheese_1087.png | True: Green (2) | Pred: Blue (1)
File: chewed_gum_1993.png | True: Green (2) | Pred: Black (0)
File: chicken_bone_pieces_2605.png | True: Green (2) | Pred: Blue (1)
File: chives_3195.png | True: Green (2) | Pred: Blue (1)
File: coffee_filter_1090.png | True: Green (2) | Pred: TTR (3)
File: compostable_bag_1178.png | True: Green (2) | Pred: Blue (1)
File: compostable_plate_1360.png | True: Green (2) | Pred: Blue (1)
File: cork_2244.png | True: Green (2) | Pred: Blue (1)
File: creatine_1501.png | True: Green (2) | Pred: Blue (1)
File: cup_coaster_3401.png | True: Green (2) | Pred: Black (0)
File: curry_leaf_branch_1364.png | True: Green (2) | Pred: TTR (3)
File: cut_tofu_1504.png | True: Green (2) | Pred: Blue (1)
File: dead_plant_leaves_3023.png | True: Green (2) | Pred: TTR (3)
File: dirty_carboard_pizza_box_12.png | True: Green (2) | Pred: Blue (1)
File: dirty_paper_towel_686.png | True: Green (2) | Pred: Blue (1)
File: dirty_pizza_box_844.png | True: Green (2) | Pred: Blue (1)
File: dirty_popeyes_biscuit_wrapper_2249.png | True: Green (2) | Pred: Black (0)
File: dried_up_bread_slice_14.png | True: Green (2) | Pred: Black (0)
File: eaten_banana_peel_689.png | True: Green (2) | Pred: Black (0)
File: egg_shell_1092.png | True: Green (2) | Pred: Blue (1)
File: egg_shell_1368.png | True: Green (2) | Pred: TTR (3)
File: egg_shell_3369.png | True: Green (2) | Pred: Blue (1)
File: eggshell_1997.png | True: Green (2) | Pred: Black (0)
File: eggshell_compost_2743.png | True: Green (2) | Pred: Black (0)
File: empty_egg_carton_2897.png | True: Green (2) | Pred: Blue (1)
File: empty_paper_container_300.png | True: Green (2) | Pred: Blue (1)
File: expired_cheese_stick_1505.png | True: Green (2) | Pred: Black (0)
File: expired_compostable_beef_1185.png | True: Green (2) | Pred: Black (0)
File: fruit_gummy_3201.png | True: Green (2) | Pred: Black (0)
File: greasy_cardboard_food_container_2189.png | True: Green (2) | Pred: Blue (1)
File: greasy_paper_bag_2439.png | True: Green (2) | Pred: Blue (1)
File: greasy_paper_bakery_box_352.png | True: Green (2) | Pred: Blue (1)
File: greasy_pizza_box_2905.png | True: Green (2) | Pred: Blue (1)
File: half_eaten_biscut_1798.png | True: Green (2) | Pred: Blue (1)
File: humus_520.png | True: Green (2) | Pred: Black (0)
File: kiwi_peels_on_paper_towel_3204.png | True: Green (2) | Pred: Blue (1)
File: leftover_croissant_3030.png | True: Green (2) | Pred: Blue (1)
File: leftover_french_fries_3031.png | True: Green (2) | Pred: Blue (1)
File: lemon_3205.png | True: Green (2) | Pred: Black (0)
File: manufactured_wood_3375.png | True: Green (2) | Pred: TTR (3)
File: moldy_grapes_187.png | True: Green (2) | Pred: Blue (1)
File: mouldy_banana_3035.png | True: Green (2) | Pred: Black (0)
File: mushroom_857.png | True: Green (2) | Pred: TTR (3)
File: napkin_for_wiping_1510.png | True: Green (2) | Pred: Blue (1)
File: old_dog_lamb_treat_2010.png | True: Green (2) | Pred: TTR (3)
File: old_dog_liver_treat_2011.png | True: Green (2) | Pred: TTR (3)
File: olive_oil_1511.png | True: Green (2) | Pred: Blue (1)
File: onion_cover_1008.png | True: Green (2) | Pred: TTR (3)
File: packaged_beef_1196.png | True: Green (2) | Pred: Black (0)
File: packaged_chopped_fruits_1197.png | True: Green (2) | Pred: Blue (1)
File: packaged_pork_1199.png | True: Green (2) | Pred: Black (0)
File: packaged_sausages_1200.png | True: Green (2) | Pred: Black (0)
File: paper_coffee_sleeve_860.png | True: Green (2) | Pred: Blue (1)
File: paper_plate_1514.png | True: Green (2) | Pred: Blue (1)
File: paper_towel_194.png | True: Green (2) | Pred: Blue (1)
File: paper_wrapped_around_some_food_3378.png | True: Green (2) | Pred: Blue (1)
File: plastic_bag_3451.png | True: Green (2) | Pred: Black (0)
File: red_rose_flower_1205.png | True: Green (2) | Pred: Black (0)
File: rice_2454.png | True: Green (2) | Pred: Blue (1)
File: rice_noodle_1520.png | True: Green (2) | Pred: TTR (3)
File: rose_1812.png | True: Green (2) | Pred: TTR (3)
File: soiled_paper_bag_1209.png | True: Green (2) | Pred: Blue (1)
File: spoiled_cheese_1965.png | True: Green (2) | Pred: Black (0)
File: sugar_532.png | True: Green (2) | Pred: Black (0)
File: takeout_container_1521.png | True: Green (2) | Pred: Blue (1)
File: tea_bag_1103.png | True: Green (2) | Pred: Blue (1)
File: tea_bag_1383.png | True: Green (2) | Pred: Black (0)
File: teabag_2197.png | True: Green (2) | Pred: Black (0)
File: teag_bag_3387.png | True: Green (2) | Pred: TTR (3)
File: tissue_for_wiping_1522.png | True: Green (2) | Pred: Black (0)
File: toilet_paper_roll_1820.png | True: Green (2) | Pred: Blue (1)
File: triscuits_2199.png | True: Green (2) | Pred: Black (0)
File: tzatziki_534.png | True: Green (2) | Pred: Blue (1)
File: unsoiled_paper_towel_416.png | True: Green (2) | Pred: Blue (1)
File: used_burger_wrapper_199.png | True: Green (2) | Pred: Black (0)
File: used_candy_370.png | True: Green (2) | Pred: Black (0)
File: used_crumpled_toilet_paper_1259.png | True: Green (2) | Pred: Blue (1)
File: used_ice_cream_popsicle_stick_3220.png | True: Green (2) | Pred: Black (0)
File: used_paper_straw_1386.png | True: Green (2) | Pred: Black (0)
File: used_paper_straw_372.png | True: Green (2) | Pred: Black (0)
File: used_sourcream_container_200.png | True: Green (2) | Pred: Blue (1)
File: used_tea_bag_3050.png | True: Green (2) | Pred: TTR (3)
File: used_tissue_1580.png | True: Green (2) | Pred: Blue (1)
File: used_tissue_2032.png | True: Green (2) | Pred: Black (0)
File: used_tissue_2345.png | True: Green (2) | Pred: Blue (1)
File: used_wooden_spoon_cutlery_1387.png | True: Green (2) | Pred: Black (0)
File: waste_tea_bag_2766.png | True: Green (2) | Pred: Black (0)
File: wheat_709.png | True: Green (2) | Pred: Blue (1)
File: white_paper_plate_1214.png | True: Green (2) | Pred: Blue (1)
File: wine_bottle_cork_2347.png | True: Green (2) | Pred: Blue (1)
File: wine_cork_378.png | True: Green (2) | Pred: Blue (1)
File: wood_block_1620.png | True: Green (2) | Pred: Blue (1)
File: wood_scrap_cutoff_2205.png | True: Green (2) | Pred: Blue (1)
File: wooden_chopsticks_540.png | True: Green (2) | Pred: Black (0)
File: wooden_fork_1661.png | True: Green (2) | Pred: Black (0)
File: wooden_spoon_1662.png | True: Green (2) | Pred: Black (0)
File: wrinkled_used_napkin_1821.png | True: Green (2) | Pred: Blue (1)
File: Air_freshener_spray_bottle_2133.png | True: TTR (3) | Pred: Blue (1)
File: Beaker_with_chemical_2560.png | True: TTR (3) | Pred: Blue (1)
File: Broken_Carbon_Monoxide_Detector_1705.png | True: TTR (3) | Pred: Blue (1)
File: Broken_ceramic_owl_statue_591.png | True: TTR (3) | Pred: Black (0)
File: Button_1713.png | True: TTR (3) | Pred: Green (2)
File: CD_case_2519.png | True: TTR (3) | Pred: Blue (1)
File: Dirty_Book_549.png | True: TTR (3) | Pred: Blue (1)
File: Dog_Toy_921.png | True: TTR (3) | Pred: Green (2)
File: Electric_Candle_973.png | True: TTR (3) | Pred: Blue (1)
File: Empty_bottle_of_detergent_2703.png | True: TTR (3) | Pred: Blue (1)
File: Empty_toilet_bowl_cleaner_2704.png | True: TTR (3) | Pred: Blue (1)
File: Kitchen_Knife_980.png | True: TTR (3) | Pred: Black (0)
File: Old_Frying_Pan_1734.png | True: TTR (3) | Pred: Black (0)
File: Old_Paperback_book_1684.png | True: TTR (3) | Pred: Blue (1)
File: Old_Rubber_band_2106.png | True: TTR (3) | Pred: Black (0)
File: Reusable_bag_cloth_167.png | True: TTR (3) | Pred: Black (0)
File: Running_Shoes_952.png | True: TTR (3) | Pred: Black (0)
File: Show_rope_1033.png | True: TTR (3) | Pred: Green (2)
File: Smoke_Detector_987.png | True: TTR (3) | Pred: Black (0)
File: Used_napkin_2723.png | True: TTR (3) | Pred: Black (0)
File: acetone_empty_container_2132.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_can_2696.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_can_2697.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_can_2698.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_cooking_spray_can_1317.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_olive_oil_957.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_shaving_cream_959.png | True: TTR (3) | Pred: Black (0)
File: aerosol_shaving_foam_1460.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_spray_can_2557.png | True: TTR (3) | Pred: Blue (1)
File: aerosol_stainless_steel_cleaner_960.png | True: TTR (3) | Pred: Blue (1)
File: air_freshener_1703.png | True: TTR (3) | Pred: Blue (1)
File: air_freshener_2558.png | True: TTR (3) | Pred: Blue (1)
File: all_purpose_cleaner_2848.png | True: TTR (3) | Pred: Blue (1)
File: anti_freeze_container_2699.png | True: TTR (3) | Pred: Blue (1)
File: anti_grease_cleaner_empty_container_2134.png | True: TTR (3) | Pred: Blue (1)
File: antifreeze_concentrate_container_1743.png | True: TTR (3) | Pred: Blue (1)
File: bathroom_germ_fighter_2849.png | True: TTR (3) | Pred: Blue (1)
File: big_makeup_brush_1264.png | True: TTR (3) | Pred: Green (2)
File: binder_1557.png | True: TTR (3) | Pred: Blue (1)
File: bleach_empty_bottle_2135.png | True: TTR (3) | Pred: Blue (1)
File: bleach_empty_container_2136.png | True: TTR (3) | Pred: Blue (1)
File: bluetooth_speaker_3470.png | True: TTR (3) | Pred: Black (0)
File: blunt_scissors_754.png | True: TTR (3) | Pred: Black (0)
File: brake_cleaner_3471.png | True: TTR (3) | Pred: Blue (1)
File: broken_clothing_iron_1318.png | True: TTR (3) | Pred: Black (0)
File: broken_dog_toy_2954.png | True: TTR (3) | Pred: Black (0)
File: broken_electric_jar_1749.png | True: TTR (3) | Pred: Blue (1)
File: broken_electronic_pcb_1319.png | True: TTR (3) | Pred: Blue (1)
File: broken_metal_door_nob_108.png | True: TTR (3) | Pred: Blue (1)
File: broken_popcorn_maker_468.png | True: TTR (3) | Pred: Blue (1)
File: broken_toy_1712.png | True: TTR (3) | Pred: Black (0)
File: burned_out_light_bulb_1885.png | True: TTR (3) | Pred: Black (0)
File: capped_disinfect_spray_1755.png | True: TTR (3) | Pred: Blue (1)
File: car_battery_2415.png | True: TTR (3) | Pred: Blue (1)
File: ceramic_plate_1424.png | True: TTR (3) | Pred: Blue (1)
File: chair_1469.png | True: TTR (3) | Pred: Blue (1)
File: chemical_paint_can_968.png | True: TTR (3) | Pred: Blue (1)
File: clean_glass_cup_597.png | True: TTR (3) | Pred: Blue (1)
File: cleaner_empty_container_2140.png | True: TTR (3) | Pred: Blue (1)
File: cleaning_material_2289.png | True: TTR (3) | Pred: Blue (1)
File: cleaning_wipes_2141.png | True: TTR (3) | Pred: Blue (1)
File: closed_bleach_bottle_472.png | True: TTR (3) | Pred: Blue (1)
File: compact_fluorescent_light_bulb_1594.png | True: TTR (3) | Pred: Black (0)
File: compostable_ruler_1362.png | True: TTR (3) | Pred: Blue (1)
File: compressed_air_duster_1595.png | True: TTR (3) | Pred: Blue (1)
File: compressed_air_duster_spray_1326.png | True: TTR (3) | Pred: Blue (1)
File: compressed_gas_container_3474.png | True: TTR (3) | Pred: Blue (1)
File: corrosive_drain_cleaner_1472.png | True: TTR (3) | Pred: Blue (1)
File: d_battery_2296.png | True: TTR (3) | Pred: Blue (1)
File: damaged_ironing_board_1947.png | True: TTR (3) | Pred: Black (0)
File: dead_battery_804.png | True: TTR (3) | Pred: Blue (1)
File: deodorant_spray_2856.png | True: TTR (3) | Pred: Blue (1)
File: dirty_beach_towel_3337.png | True: TTR (3) | Pred: Green (2)
File: dirty_fabric_toy_1896.png | True: TTR (3) | Pred: Green (2)
File: dirty_old_rag_cloth_1275.png | True: TTR (3) | Pred: Blue (1)
File: dirty_paint_canister_metal_1950.png | True: TTR (3) | Pred: Blue (1)
File: dirty_toothbrush_1562.png | True: TTR (3) | Pred: Black (0)
File: dirty_wooden_spoon_687.png | True: TTR (3) | Pred: Black (0)
File: dish_cloth_645.png | True: TTR (3) | Pred: Black (0)
File: dishwasher_detergent_2145.png | True: TTR (3) | Pred: Blue (1)
File: disinfectant_bottle_479.png | True: TTR (3) | Pred: Blue (1)
File: ear_plugs_3403.png | True: TTR (3) | Pred: Black (0)
File: earbud_charger_970.png | True: TTR (3) | Pred: Blue (1)
File: elastic_band_1722.png | True: TTR (3) | Pred: Black (0)
File: electric_immersion_2858.png | True: TTR (3) | Pred: Black (0)
File: electric_toothbrush_head_2390.png | True: TTR (3) | Pred: Black (0)
File: electric_watch_977.png | True: TTR (3) | Pred: Black (0)
File: electrical_plug_231.png | True: TTR (3) | Pred: Black (0)
File: empty_CO_cylinder_1334.png | True: TTR (3) | Pred: Blue (1)
File: empty_aerosol_canister_3157.png | True: TTR (3) | Pred: Blue (1)
File: empty_audi_hydrocarbons_container_2993.png | True: TTR (3) | Pred: Blue (1)
File: empty_automotive_spray_paint_can_1759.png | True: TTR (3) | Pred: Blue (1)
File: empty_bleach_bottle_233.png | True: TTR (3) | Pred: Blue (1)
File: empty_butane_canister_3338.png | True: TTR (3) | Pred: Blue (1)
File: empty_butane_canister_481.png | True: TTR (3) | Pred: Blue (1)
File: empty_contact_cement_can_2994.png | True: TTR (3) | Pred: Blue (1)
File: empty_draino_bottle_63.png | True: TTR (3) | Pred: Blue (1)
File: empty_lysol_cleaner_3342.png | True: TTR (3) | Pred: Blue (1)
File: empty_rust_paint_container_2995.png | True: TTR (3) | Pred: Blue (1)
File: empty_spray_bottle_247.png | True: TTR (3) | Pred: Blue (1)
File: empty_spray_can_2484.png | True: TTR (3) | Pred: Blue (1)
File: empty_water_bottle_557.png | True: TTR (3) | Pred: Blue (1)
File: empty_windshield_wiper_fluid_3260.png | True: TTR (3) | Pred: Blue (1)
File: empty_wood_finish_pail_2998.png | True: TTR (3) | Pred: Blue (1)
File: expired_bug_spray_482.png | True: TTR (3) | Pred: Blue (1)
File: expired_prescription_drugs_1764.png | True: TTR (3) | Pred: Green (2)
File: fake_plant_1044.png | True: TTR (3) | Pred: Green (2)
File: febreze_aerosol_container_649.png | True: TTR (3) | Pred: Blue (1)
File: filled_glass_cleaner_bottle_484.png | True: TTR (3) | Pred: Blue (1)
File: fingernail_polish_bottle_3163.png | True: TTR (3) | Pred: Blue (1)
File: fire_extinguisher_979.png | True: TTR (3) | Pred: Blue (1)
File: floor_cleaning_chemical_2153.png | True: TTR (3) | Pred: Blue (1)
File: foam_drink_coozie_2393.png | True: TTR (3) | Pred: Blue (1)
File: foam_phone_holder_1727.png | True: TTR (3) | Pred: Black (0)
File: glass_cleaner_empty_container_2155.png | True: TTR (3) | Pred: Blue (1)
File: glass_mug_1433.png | True: TTR (3) | Pred: Blue (1)
File: glass_vase_603.png | True: TTR (3) | Pred: Black (0)
File: grocery_bag_1539.png | True: TTR (3) | Pred: Blue (1)
File: hair_spray_canister_3483.png | True: TTR (3) | Pred: Blue (1)
File: half_full_gas_bottle_159.png | True: TTR (3) | Pred: Blue (1)
File: half_full_gear_oil_bottle_160.png | True: TTR (3) | Pred: Blue (1)
File: half_full_metal_paint_can_161.png | True: TTR (3) | Pred: Blue (1)
